# dynamic_c=1_k=2_n=250_b=0_p=0.5
#
# N1	aoic	stdev
0	-0.0443893	1.00799
3	0.285222	0.960793
6	0.533172	0.849287
9	0.664738	0.754308
12	0.852817	0.552169
15	0.960168	0.361814
18	1.00739	0.230071
21	1.03019	0.14137
24	1.04209	0.0801826
27	1.04842	0.0554112
30	1.05464	0.000442618
33	1.05908	0.000464781
36	1.06348	0.00050321
39	1.0679	0.000508181
42	1.07225	0.00048759
45	1.0766	0.000496843
48	1.08095	0.000511609
51	1.08529	0.000532679
54	1.08953	0.000522352
57	1.09382	0.000520848
60	1.09808	0.000532598
63	1.10234	0.000554061
66	1.10656	0.00054069
69	1.11074	0.000556801
72	1.11493	0.000556584
75	1.11907	0.00057108
78	1.12322	0.000572579
81	1.12738	0.000573783
84	1.13146	0.00055128
87	1.13557	0.000568394
90	1.13968	0.000567172
93	1.14372	0.00056054
96	1.14779	0.000562854
99	1.15181	0.000577931
102	1.1558	0.000574669
105	1.15979	0.000542054
108	1.16382	0.000545155
111	1.16778	0.000546203
114	1.17175	0.000552096
117	1.17562	0.000541619
120	1.17955	0.000531898
123	1.18348	0.000558297
126	1.18738	0.000522321
129	1.19128	0.000520625
132	1.19515	0.000517341
135	1.199	0.000527336
138	1.20282	0.000517265
141	1.20665	0.000507251
144	1.21044	0.000494376
147	1.21423	0.000514031
150	1.21802	0.000497662
