# dynamic_c=1_k=4_n=100_b=0_p=0
#
# N1	aoic	stdev
0	0.00325064	0.335678
1	0.0809568	0.323927
2	0.159811	0.309188
3	0.23523	0.297857
4	0.296244	0.28992
5	0.345932	0.283951
6	0.426419	0.28198
7	0.479621	0.261945
8	0.540156	0.254498
9	0.600353	0.236146
10	0.635663	0.221034
11	0.687339	0.219836
12	0.737707	0.207813
13	0.764637	0.198017
14	0.809674	0.18203
15	0.835489	0.177767
16	0.869043	0.171596
17	0.893483	0.166643
18	0.928408	0.147067
19	0.937409	0.142745
20	0.97148	0.129614
21	0.981699	0.125449
22	0.998601	0.118058
23	1.0157	0.109342
24	1.02587	0.105875
25	1.04371	0.0936507
26	1.06011	0.081108
27	1.0676	0.0787254
28	1.07512	0.0730654
29	1.08619	0.0650505
30	1.09188	0.0665486
31	1.10002	0.0565992
32	1.10548	0.0559734
33	1.11351	0.0483139
34	1.11868	0.0458487
35	1.12532	0.0415458
36	1.13102	0.0372545
37	1.13448	0.0361739
38	1.1398	0.0306039
39	1.14551	0.0252631
40	1.14919	0.0245985
41	1.1536	0.0212278
42	1.15701	0.0209386
43	1.16235	0.0119323
44	1.1647	0.0167147
45	1.16914	0.0110978
46	1.17217	0.0137721
47	1.17577	0.0109191
48	1.17888	0.0125206
49	1.1826	0.00959549
50	1.1864	0.00424288
51	1.18967	0.00218906
52	1.19275	0.00515104
53	1.19618	0.00072964
54	1.19937	0.000711191
55	1.20229	0.00605383
56	1.20579	0.000720266
57	1.20887	0.00395623
58	1.21199	0.00480835
59	1.21531	0.000677994
60	1.2185	0.000627538
