# dynamic_c=1_k=4_n=500_b=-0.02_p=0
#
# N1	aoic	stdev
0	-0.259941	0.145577
5	-0.174532	0.149782
10	-0.0981031	0.140926
15	-0.0154695	0.132727
20	0.0752911	0.132303
25	0.140474	0.131201
30	0.213153	0.127784
35	0.276628	0.123597
40	0.340721	0.116977
45	0.39769	0.111171
50	0.463393	0.112029
55	0.519586	0.10156
60	0.562467	0.103176
65	0.611963	0.0982981
70	0.65444	0.0951186
75	0.695189	0.0903594
80	0.732741	0.0883275
85	0.771741	0.0821362
90	0.80754	0.0790616
95	0.831408	0.0753573
100	0.86476	0.0740319
105	0.888458	0.0675217
110	0.914851	0.0667791
115	0.937272	0.060562
120	0.959164	0.0572063
125	0.977149	0.0531593
130	0.993068	0.0517025
135	1.00848	0.0508624
140	1.02327	0.045954
145	1.03704	0.0430413
150	1.0508	0.0394765
155	1.06237	0.0365539
160	1.07166	0.0353556
165	1.0819	0.0326691
170	1.08937	0.0304798
175	1.09869	0.0291258
180	1.10616	0.0263999
185	1.11383	0.0244897
190	1.11992	0.0231017
195	1.12531	0.0222185
200	1.1322	0.0186768
205	1.13764	0.017358
210	1.14207	0.0167709
215	1.14752	0.0153266
220	1.15276	0.0132086
225	1.15697	0.011935
230	1.16129	0.01133
235	1.16522	0.0106232
240	1.16974	0.00912968
245	1.17323	0.00876468
250	1.1771	0.00805679
255	1.18095	0.00671346
260	1.18483	0.00571466
265	1.18817	0.0056427
270	1.19156	0.00539684
275	1.19527	0.004163
280	1.19854	0.00419039
285	1.20202	0.00324254
290	1.20517	0.00346891
295	1.2086	0.00245755
300	1.21185	0.00213297
