# dynamic_c=1_k=4_n=500_b=-0.08_p=0.9
#
# N1	aoic	stdev
0	-1.04735	0.000105339
5	-1.03913	0.000188902
10	-1.03062	0.000268308
15	-1.0217	0.000339343
20	-1.01235	0.000462581
25	-0.990293	0.153668
30	-0.974327	0.176573
35	-0.911927	0.265816
40	-0.754669	0.488792
45	-0.58469	0.662255
50	-0.372225	0.797131
55	-0.0957379	0.886183
60	0.188401	0.893804
65	0.497296	0.80728
70	0.765026	0.620839
75	0.886229	0.47402
80	0.980389	0.293296
85	1.02352	0.148375
90	1.03751	0.0732333
95	1.04154	0.0719443
100	1.04868	0.000295079
105	1.05261	0.000282628
110	1.05651	0.000305384
115	1.06037	0.000293502
120	1.06424	0.000293261
125	1.06805	0.000297368
130	1.07188	0.000300196
135	1.07569	0.000299614
140	1.07948	0.000305862
145	1.08325	0.00029617
150	1.087	0.000295201
155	1.09073	0.000297083
160	1.09445	0.000306947
165	1.09814	0.000307548
170	1.10182	0.000294503
175	1.10552	0.000302847
180	1.10917	0.000292186
185	1.1128	0.000300149
190	1.11644	0.000300017
195	1.12004	0.000310711
200	1.12364	0.000309426
205	1.12721	0.000312129
210	1.13081	0.000294948
215	1.13435	0.000298095
220	1.13787	0.000292894
225	1.1414	0.000292824
230	1.14492	0.000296595
235	1.14841	0.000296836
240	1.15188	0.000291227
245	1.15536	0.000285136
250	1.15883	0.000276126
255	1.16227	0.00026596
260	1.1657	0.000276814
265	1.16913	0.000274304
270	1.17254	0.000265843
275	1.17592	0.000279204
280	1.17932	0.000270614
285	1.18271	0.00026439
290	1.18606	0.000267026
295	1.1894	0.000265593
300	1.19272	0.000260928
