# static_c=1_k=2_n=500_b=-0.1_p=0.9
#
# N1	aoic	stdev
0	-1.04566	0.00077677
5	-1.03765	0.00174946
10	-1.02855	0.00342874
15	-1.01864	0.00493848
20	-1.00779	0.00669378
25	-0.990276	0.0919077
30	-0.977631	0.0880336
35	-0.947708	0.184006
40	-0.910658	0.263139
45	-0.86219	0.331537
50	-0.70091	0.565227
55	-0.440771	0.76744
60	-0.19989	0.851041
65	0.226254	0.859106
70	0.432363	0.793154
75	0.724792	0.606152
80	0.895213	0.403571
85	0.968271	0.258686
90	1.00593	0.138629
95	1.02035	0.0500999
100	1.02723	0.00519018
105	1.0303	0.0288618
110	1.03543	0.00365937
115	1.03923	0.0034765
120	1.04302	0.00450339
125	1.04716	0.0029933
130	1.05116	0.00271284
135	1.05482	0.00289936
140	1.05869	0.00312312
145	1.06261	0.00282333
150	1.06638	0.0027372
155	1.07002	0.00342409
160	1.07395	0.0026325
165	1.07774	0.00237295
170	1.08144	0.00252784
175	1.08523	0.00208603
180	1.0889	0.00200811
185	1.09257	0.00240871
190	1.09622	0.0018947
195	1.09999	0.00238863
200	1.1036	0.00216211
205	1.10731	0.00193741
210	1.11081	0.00203406
215	1.11438	0.00193875
220	1.11798	0.00193123
225	1.12152	0.00173404
230	1.12516	0.00196749
235	1.12868	0.00190167
240	1.13228	0.00166865
245	1.13572	0.00182091
250	1.13925	0.00175862
255	1.1428	0.00175491
260	1.14605	0.00164549
265	1.14961	0.00158904
270	1.15315	0.00173821
275	1.15656	0.0017281
280	1.16013	0.00163159
285	1.16348	0.00160543
290	1.16686	0.00160676
295	1.17015	0.00155805
300	1.17354	0.00147934
