# static_c=1_k=4_n=100_b=-0.06_p=0
#
# N1	aoic	stdev
0	-0.865604	0.189915
1	-0.780174	0.209483
2	-0.686052	0.227056
3	-0.587296	0.238788
4	-0.496703	0.250789
5	-0.411827	0.25897
6	-0.326088	0.243327
7	-0.247785	0.254578
8	-0.157536	0.252126
9	-0.0793651	0.245162
10	0.00310664	0.247438
11	0.0701205	0.241609
12	0.149234	0.235966
13	0.231695	0.236817
14	0.279798	0.232076
15	0.358345	0.222052
16	0.410082	0.215547
17	0.461884	0.21336
18	0.512415	0.212497
19	0.571623	0.204703
20	0.61223	0.199967
21	0.656802	0.192651
22	0.699091	0.19221
23	0.734781	0.176378
24	0.782733	0.173728
25	0.805853	0.169543
26	0.842889	0.15851
27	0.870858	0.150218
28	0.894423	0.149082
29	0.916761	0.138032
30	0.931535	0.134596
31	0.959781	0.124981
32	0.977807	0.118378
33	0.990549	0.115614
34	1.01452	0.10463
35	1.03002	0.0984454
36	1.04082	0.0909099
37	1.04912	0.0861994
38	1.05417	0.0846341
39	1.07541	0.0741461
40	1.07991	0.0699287
41	1.09268	0.0613615
42	1.09818	0.0596044
43	1.10892	0.0519197
44	1.11549	0.0479608
45	1.11954	0.0456379
46	1.12249	0.0479838
47	1.12884	0.043836
48	1.13739	0.0343906
49	1.14159	0.0340761
50	1.14512	0.0343276
51	1.15032	0.0305235
52	1.15576	0.0257602
53	1.1595	0.0236448
54	1.16461	0.0184995
55	1.1673	0.0199604
56	1.17247	0.0133808
57	1.17578	0.0148342
58	1.17766	0.0212399
59	1.18225	0.0153641
60	1.1866	0.00964029
