# static_c=1_k=4_n=100_b=0_p=0.1
#
# N1	aoic	stdev
0	-0.025056	0.506994
1	0.116731	0.505781
2	0.226575	0.482532
3	0.306912	0.458913
4	0.409237	0.427489
5	0.518792	0.36847
6	0.569686	0.350539
7	0.629376	0.320346
8	0.692403	0.285951
9	0.74223	0.263445
10	0.78479	0.23328
11	0.821857	0.216485
12	0.865786	0.194114
13	0.887573	0.185381
14	0.913613	0.170395
15	0.939243	0.146633
16	0.955297	0.138279
17	0.975737	0.122071
18	0.988897	0.120875
19	1.00713	0.100517
20	1.01901	0.092652
21	1.02851	0.0925423
22	1.04665	0.0744547
23	1.04718	0.0780123
24	1.05687	0.073043
25	1.06556	0.0623639
26	1.07384	0.0555805
27	1.07943	0.0524136
28	1.08718	0.0468577
29	1.09265	0.0425586
30	1.09827	0.0392047
31	1.10323	0.0344232
32	1.1058	0.0369505
33	1.11225	0.030935
34	1.11656	0.0286187
35	1.12166	0.0220384
36	1.12378	0.0253779
37	1.12876	0.0206369
38	1.132	0.0213417
39	1.136	0.0186229
40	1.1405	0.0131646
41	1.14398	0.0130995
42	1.14635	0.0156033
43	1.15023	0.0130248
44	1.15403	0.0131106
45	1.15792	0.00729406
46	1.16132	0.00568287
47	1.16399	0.0105238
48	1.16773	0.0076806
49	1.17067	0.00816868
50	1.17444	0.0013549
51	1.17707	0.00934816
52	1.18074	0.00397411
53	1.18392	0.00637557
54	1.18708	0.00405289
55	1.19042	0.00124493
56	1.19353	0.0012578
57	1.19678	0.00120338
58	1.19982	0.00122045
59	1.20292	0.00124618
60	1.2061	0.00117406
