# static_c=1_k=4_n=100_b=0_p=0
#
# N1	aoic	stdev
0	-0.00256655	0.337615
1	0.0861279	0.31952
2	0.148792	0.309663
3	0.223188	0.305007
4	0.28611	0.287367
5	0.370153	0.2793
6	0.410223	0.272605
7	0.468129	0.260051
8	0.544852	0.246489
9	0.586974	0.241026
10	0.642333	0.230486
11	0.672331	0.210908
12	0.733092	0.204025
13	0.765306	0.191965
14	0.801238	0.189431
15	0.825714	0.17758
16	0.855894	0.167154
17	0.888147	0.154952
18	0.916327	0.146505
19	0.929042	0.143041
20	0.947609	0.13067
21	0.97931	0.118201
22	0.999796	0.111379
23	1.00828	0.103704
24	1.02134	0.0994386
25	1.03019	0.093115
26	1.04546	0.0841818
27	1.05666	0.076625
28	1.06215	0.0752263
29	1.07163	0.0691185
30	1.07896	0.0676385
31	1.08908	0.0549648
32	1.09586	0.0536685
33	1.10323	0.0474523
34	1.10896	0.0429765
35	1.11562	0.0378491
36	1.11976	0.0353789
37	1.12448	0.0308304
38	1.12931	0.0278364
39	1.13389	0.0266655
40	1.13686	0.0254662
41	1.14176	0.0220896
42	1.14652	0.0171411
43	1.14921	0.0195474
44	1.15348	0.0170263
45	1.15737	0.0122181
46	1.16085	0.011464
47	1.16415	0.00958516
48	1.16735	0.0109912
49	1.1708	0.00967447
50	1.17446	0.00530428
51	1.17795	0.000703486
52	1.18099	0.00428617
53	1.18427	0.003316
54	1.18745	0.00294459
55	1.19045	0.00636938
56	1.19385	0.000680282
57	1.19698	0.000681155
58	1.20009	0.000693368
59	1.20331	0.000636189
60	1.20642	0.000647323
